winter_PSurf,spring_PSurf,summer_PSurf,autumn_PSurf,winter_Qair,spring_Qair,summer_Qair,autumn_Qair,winter_Tair,spring_Tair,summer_Tair,autumn_Tair,winter_Wind,spring_Wind,summer_Wind,autumn_Wind,lon,lat,sand % topsoil,silt % topsoil,clay % topsoil,OC % topsoil,OC % subsoil,N % topsoil,N % subsoil,CaCO3 % topsoil
0.47675464,0.4302817,0.4483368,0.44538322,0.7338693,0.49683437,1.2233055,-0.007348475,0.6077559,0.11506564,-0.72782636,-0.04320623,0.5189708,0.20588629,1.9383302,0.7271756,-2.5167343977999703,-0.22109681042981782,0.5502639935400921,0.44237717921368297,0.048155881470775666,0.3451257485456399,0.06579651823918733,-0.6350570983222381,-0.5158871914997781,-0.6091750519462679
0.44491306,0.39179415,0.40848708,0.41021395,0.6688696,0.44004932,1.2310525,-0.077900976,0.59836084,0.07431491,-0.87290496,-0.10090786,0.2231553,0.06549189,1.8002532,0.7883023,-2.5167343977999703,-0.10442948979710957,1.0680863365025501,0.011037644655364548,-0.4514121050443468,-0.1785348981753043,-0.44997564803335327,-0.7191242710543737,-1.1511073948411918,1.954543486775934
0.26250893,0.20225245,0.21782622,0.22606072,0.4216978,0.19327182,1.1975381,-0.27008945,0.46810976,-0.08070814,-1.1299117,-0.26446196,-0.061132263,0.09608133,1.5287262,0.6827265,-2.5167343977999703,0.012237830835598668,1.0680863365025501,0.011037644655364548,-0.4514121050443468,-0.1785348981753043,-0.44997564803335327,-0.7191242710543737,-1.1511073948411918,1.954543486775934
0.46306622,0.40051386,0.4078547,0.42394024,0.120000966,-0.3209352,0.5114006,-0.75239944,0.4180911,-0.16222425,-1.3646781,-0.37033194,-1.5063258,-0.7411427,0.16762346,-0.88493365,-2.5167343977999703,0.12890515146830736,0.58417887542741,0.06162684932578471,0.4567429432894351,0.9518057660881967,0.8072190072559642,0.7660624472133544,0.70569012261832,0.009168965224004932
0.66037637,0.6126775,0.62449443,0.62753516,0.73348653,0.2481515,1.0081323,-0.14966385,0.62755126,0.26237082,-0.49307033,0.07216204,0.21474399,0.10891557,1.5624652,0.4187849,-2.401807679331059,-0.22109681042981782,0.09034510745842143,0.06162684932578471,0.4567429432894351,0.1727009014545975,-0.06314652332894755,-0.018564498286577115,0.11933301184163554,-0.03951844434460736
0.6609478,0.6058447,0.6167565,0.6239614,0.6262882,0.03910233,0.94051933,-0.35428792,0.5369277,0.13158573,-0.6942869,-0.07237821,-0.2859011,-0.06570322,1.3167329,0.27605763,-2.401807679331059,-0.10442948979710957,0.09034510745842143,0.06162684932578471,0.4567429432894351,0.1727009014545975,-0.06314652332894755,-0.018564498286577115,0.11933301184163554,-0.03951844434460736
0.29305252,0.2273845,0.23751387,0.25285804,0.37956488,-0.18862015,0.757908,-0.52478117,0.52752346,0.082833156,-0.8280765,-0.13006234,-0.29518083,0.3211914,1.2582352,0.52601767,-2.401807679331059,0.012237830835598668,1.0680863365025501,0.011037644655364548,-0.4514121050443468,-0.1785348981753043,-0.44997564803335327,-0.7191242710543737,-1.1511073948411918,1.954543486775934
0.18491742,0.11341198,0.122225374,0.14305633,-0.0639002,-0.70176125,0.055353247,-1.040022,0.24621184,-0.18673153,-1.1521418,-0.40901121,-1.0567952,-0.10670579,0.18885964,-0.29429868,-2.401807679331059,0.12890515146830736,1.0879389502902477,-0.24190837869673587,-0.17681513232411364,0.6772032318320923,-0.10612753718499286,-0.15867645284013662,-1.1511073948411918,0.9146012760804757
0.6077157,0.5385485,0.5376118,0.563796,-0.39352122,-1.1062361,-0.82142603,-1.5736548,0.1763886,-0.27648923,-1.2972205,-0.52470505,-2.2056448,-1.1164976,-0.9160401,-1.694207,-2.401807679331059,0.2455724721010156,-1.2298537094234985,2.5977435571455274,0.9430773407577996,0.8879447116100325,-0.5359376757454428,-0.21472123466156035,-0.467024098935054,1.3863897307396125
0.5997932,0.55637455,0.5633654,0.57065755,0.49775776,0.082158804,0.6977947,-0.22415349,0.82763475,0.5234102,-0.09097489,0.36092576,0.3596736,0.30907825,1.2278728,0.18631159,-2.286880960862148,-0.3377641310625263,0.09034510745842143,0.06162684932578471,0.4567429432894351,0.1727009014545975,-0.06314652332894755,-0.018564498286577115,0.11933301184163554,-0.03951844434460736
